código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
47048,APSE-EEB,"Interruptor de 3 vías, 1 módulo, línea Española,color blanco",MM00,12,144,32,Pieza,7.51E+12,20,20,0,26,20,32,22.41,17.24,27.59,Volteck,25,29,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.025,83.308,
47049,APSE15-EEB,"Interruptor de 3 vías, 1.5 módulos, línea Española, blanco",MM00,12,144,32,Pieza,7.51E+12,20,20,0,26,20,32,22.41,17.24,27.59,Volteck,25,29,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.029,112.005,
47051,COA-EB,"Contacto aterrizado, 1 módulo, línea Española, color blanco",MM00,12,144,24,Pieza,7.51E+12,15,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.02,82.35,
47052,COA15-EB,"Contacto aterrizado, 1.5 módulos, línea Española, blanco",MM00,12,144,26,Pieza,7.51E+12,17,17,0,22,17,26,18.97,14.66,22.41,Volteck,20.69,24,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.025,85.902,
47053,APTI15-EB,"Interruptor para timbre, 1.5 módulos, línea Española, blanco",MM00,12,144,29,Pieza,7.51E+12,18,18,0,24,18,29,20.69,15.52,25,Volteck,22.41,26,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.025,117.188,
47054,DIM15-EB,"Dimmer giratorio, 1.5 módulos, línea Española, color blanco",MM00,12,144,105,Pieza,7.51E+12,65,65,0,85,65,105,73.28,56.03,90.52,Volteck,81.9,95,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.045,145.058,
47055,TV15-EB,"Toma de televisión, 1.5 módulos, línea Española, blanco",MM00,12,144,30,Pieza,7.51E+12,19,19,0,25,19,30,21.55,16.38,25.86,Volteck,23.28,27,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.01,84.494,
47056,TE15-EB,"Toma de teléfono, 1.5 módulos, línea Española, color blanco",MM00,12,144,30,Pieza,7.51E+12,19,19,0,25,19,30,21.55,16.38,25.86,Volteck,23.28,27,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.015,90.024,
47057,C2USB-EB,"Toma con 2 puertos USB, 1.5 módulos, línea Española, blanco",MM00,6,144,200,Pieza,7.51E+12,125,125,0,165,125,200,142.24,107.76,172.41,Volteck,155.17,180,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.035,166.172,
47058,TA-EB,"Tapón ciego, 1 módulo, línea Española, color blanco, VOLTECK",MM00,12,144,3.9,Pieza,7.51E+12,2.5,2.5,0,3.3,2.5,3.9,2.84,2.16,3.36,Volteck,3.1,3.6,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.005,80.303,
47059,CODO-EB,"Placa armada contacto dúplex, 3 módulos, Española, blanco",MM00,12,144,55,Pieza,7.51E+12,35,35,0,45,35,55,38.79,30.17,47.41,Volteck,43.1,50,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.077,347.208,
47063,PPDO-EB,"Placa 2 ventanas, 1 módulo, línea Española, color blanco",MM00,12,144,24,Pieza,7.51E+12,15,15,0,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.045,212.755,
47065,PP6M-EB,"Placa 2 ventanas, 6 módulos, línea Española, color blanco",MM00,6,72,47,Pieza,7.51E+12,30,30,0,39,30,47,33.62,25.86,40.52,Volteck,37.07,43,31162800,Ferretería en general,P039,"Artefactos eléctricos, VOLTECK",0.085,290.217,
